batting_order,player_name,team_name,matches_played,runs,balls_faced,bowling_order,overs_bowled,wickets,points,average_points
1.0,Adam Lyth,Yorkshire,1,4.0,6.0,,,,4,4.0
2.0,Dawid Malan,Yorkshire,1,0.0,1.0,,,,0,0.0
3.0,Shan Masood,Yorkshire,1,31.0,25.0,,,,31,31.0
4.0,Jonathan Tattersall,Yorkshire,1,29.0,20.0,,,,29,29.0
5.0,Matthew Revis,Yorkshire,1,42.0,31.0,3.0,4.0,1.0,67,67.0
6.0,Jordan Thompson,Yorkshire,1,36.0,18.0,4.0,4.0,2.0,86,86.0
7.0,David Wiese,Yorkshire,1,15.0,9.0,2.0,4.0,3.0,90,90.0
8.0,Ben Mike,Yorkshire,1,2.0,3.0,6.0,1.0,0.0,2,2.0
9.0,Dom Bess,Yorkshire,1,12.0,4.0,,,,12,12.0
10.0,Jafer Chohan,Yorkshire,1,2.0,3.0,5.0,3.0,1.0,27,27.0
,Matthew Fisher,Yorkshire,1,,,1.0,3.5,1.0,25,25.0
1.0,Michael Bracewell,Worcestershire,1,3.0,8.0,4.0,4.0,1.0,28,28.0
2.0,Brett D'Oliveira,Worcestershire,1,2.0,4.0,6.0,3.0,2.0,52,52.0
3.0,Jack Haynes,Worcestershire,1,32.0,24.0,,,,32,32.0
4.0,Adam Hose,Worcestershire,1,44.0,26.0,,,,44,44.0
5.0,Kashif Ali,Worcestershire,1,24.0,22.0,,,,24,24.0
6.0,Ben Cox,Worcestershire,1,26.0,14.0,,,,26,26.0
7.0,Ed Pollock,Worcestershire,1,1.0,3.0,,,,1,1.0
8.0,Usama Mir,Worcestershire,1,9.0,8.0,5.0,4.0,0.0,9,9.0
9.0,Adam Finch,Worcestershire,1,30.0,10.0,2.0,4.0,0.0,30,30.0
10.0,Dillon Pennington,Worcestershire,1,0.0,0.0,1.0,2.0,2.0,50,50.0
,Pat Brown,Worcestershire,1,,,3.0,3.0,3.0,75,75.0
